BJD - 2454833, Corrected Flux
2388.121285969, 0.992947979,
2388.141718368, 0.992955112,
2388.162150766, 0.993177544,
2388.182583165, 0.993183131,
2388.203015462, 0.993108168,
2388.223447959, 0.997968517,
2388.243880355, 0.999219360,
2388.264312651, 0.993243312,
2388.284745147, 0.993132244,
2388.305177542, 0.993273123,
2388.366474723, 0.993110650,
2388.386907216, 0.993321084,
2388.407339509, 0.993169268,
2388.427771900, 0.993318960,
2388.448204392, 0.993115859,
2388.468636682, 0.993001774,
2388.489069073, 0.993122652,
2388.509501563, 0.993124757,
2388.529933852, 0.993188215,
2388.550366241, 0.993352279,
2388.570798729, 0.993155688,
2388.591231117, 0.993218930,
2388.611663405, 0.993454947,
2388.632095892, 0.993178221,
2388.652528278, 0.993180404,
2388.672960564, 0.992987257,
2388.693393049, 0.993286194,
2388.713825434, 0.993142584,
2388.734257718, 0.993015324,
2388.754690202, 0.993050550,
2388.775122585, 0.993238812,
2388.795555068, 0.993063736,
2388.815987350, 0.993158549,
2388.836419732, 0.993325481,
2388.856852214, 0.993385563,
2388.877284494, 0.993058158,
2388.897716874, 0.993240295,
2388.918149254, 0.993277567,
2388.938581633, 0.993148468,
2388.959014013, 0.993322814,
2388.979446391, 0.993266126,
2388.999878769, 0.993232481,
2389.020311146, 0.993272341,
2389.040743523, 0.993283259,
2389.061175899, 0.993279078,
2389.081608275, 0.993073844,
2389.102040750, 0.993173590,
2389.122473025, 0.993263960,
2389.142905499, 0.993280635,
2389.163337873, 0.993205578,
2389.183770146, 0.993221334,
2389.204202619, 0.993405759,
2389.224634992, 0.993248781,
2389.245067263, 0.993330082,
2389.265499734, 0.993387350,
2389.285932105, 0.993088685,
2389.306364376, 0.993384252,
2389.326796845, 0.993183818,
2389.347229215, 0.993223354,
2389.367661483, 0.993280910,
2389.388093952, 0.993258163,
2389.408526320, 0.993124251,
2389.428958687, 0.993265142,
2389.449391054, 0.993187430,
2389.469823420, 0.993209125,
2389.490255786, 0.993274511,
2389.510688151, 0.993427080,
2389.531120516, 0.993321783,
2389.551552980, 0.993559776,
2389.571985344, 0.993382340,
2389.592417607, 0.993452962,
2389.612850070, 0.993234909,
2389.633282332, 0.993570546,
2389.653714695, 0.993054027,
2389.674147156, 0.993066656,
2389.694579417, 0.993361810,
2389.715011777, 0.993322269,
2389.735444237, 0.993027085,
2389.755876496, 0.993386549,
2389.776308855, 0.993337572,
2389.796741313, 0.993543592,
2389.817173571, 0.993437251,
2389.837605929, 0.993308771,
2389.858038386, 0.993398766,
2389.878470642, 0.993372423,
2389.898903098, 0.993381149,
2389.919335454, 0.993331707,
2389.939767808, 0.993456391,
2389.960200163, 0.993448428,
2389.980632517, 0.993105028,
2390.001064870, 0.993169890,
2390.021497223, 0.993289080,
2390.041929575, 0.993284241,
2390.062361927, 0.993149464,
2390.082794279, 0.993111126,
2390.103226630, 0.993582560,
2390.123658980, 0.993382350,
2390.144091430, 0.993283994,
2390.164523680, 0.992896154,
2390.184956028, 0.985844060,
2390.205388477, 0.972357618,
2390.225820725, 0.955943289,
2390.246253072, 0.939021460,
2390.266685520, 0.926110151,
2390.307550212, 0.911906264,
2390.327982558, 0.909735004,
2390.348414803, 0.908620641,
2390.368847247, 0.908118132,
2390.389279591, 0.908043957,
2390.409711835, 0.908908580,
2390.430144278, 0.910734189,
2390.450576521, 0.913658788,
2390.471008863, 0.919064205,
2390.491441304, 0.931733859,
2390.511873645, 0.948093740,
2390.532305886, 0.965303018,
2390.552738326, 0.980291901,
2390.573170666, 0.990875314,
2390.593602905, 0.993581917,
2390.614035344, 0.993546141,
2390.634467682, 0.993606526,
2390.654899919, 0.993847978,
2390.675332356, 0.993644753,
2390.695764694, 0.993654659,
2390.716197130, 0.993900917,
2390.736629365, 0.993673266,
2390.757061701, 0.993744208,
2390.777494135, 0.993539599,
2390.797926369, 0.993699699,
2390.818358703, 0.993514940,
2390.838791137, 0.993523432,
2390.859223369, 0.993613363,
2390.879655702, 0.993632855,
2390.900088134, 0.993499909,
2390.920520365, 0.993616767,
2390.940952696, 0.993508306,
2390.961385126, 0.993642462,
2390.981817456, 0.993582798,
2391.002249685, 0.993550895,
2391.022682114, 0.993743879,
2391.043114442, 0.993624892,
2391.063546771, 0.993657249,
2391.083979098, 0.993748656,
2391.104411425, 0.993766370,
2391.124843751, 0.994270495,
2391.145276077, 0.993856990,
2391.165708303, 0.993862454,
2391.186140728, 0.993902726,
2391.206573052, 0.993472939,
2391.227005276, 0.993666722,
2391.247437700, 0.993966148,
2391.267870023, 0.993911083,
2391.288302245, 0.993743899,
2391.308734668, 0.993590177,
2391.329166989, 0.993665609,
2391.349599310, 0.993977160,
2391.370031631, 0.993834812,
2391.390463951, 0.993838843,
2391.410896271, 0.993922412,
2391.431328590, 0.993804475,
2391.451760909, 0.993808369,
2391.472193327, 0.993772514,
2391.492625644, 0.993819435,
2391.513057861, 0.994013312,
2391.533490278, 0.993979801,
2391.553922595, 0.993804060,
2391.574354810, 0.993619060,
2391.594787226, 0.993852648,
2391.615219540, 0.993756320,
2391.635651755, 0.993831079,
2391.656084169, 0.993676701,
2391.676516482, 0.993850070,
2391.696948695, 0.993894376,
2391.717381107, 0.993762769,
2391.737813419, 0.993850861,
2391.758245631, 0.993608358,
2391.778678042, 0.993612648,
2391.799110352, 0.993853555,
2391.819542762, 0.993866735,
2391.839974972, 0.993729868,
2391.860407281, 0.993844788,
2391.880839589, 0.993710463,
2391.901271897, 0.993995672,
2391.921704205, 0.993559030,
2391.942136512, 0.993638032,
2391.962568818, 0.993745230,
2391.983001125, 0.993763461,
2392.003433530, 0.993973312,
2392.023865736, 0.993962348,
2392.044298040, 0.993981411,
2392.064730444, 0.993775286,
2392.085162648, 0.993545893,
2392.105594952, 0.993631374,
2392.126027354, 0.993820545,
2392.146459557, 0.993846985,
2392.166891859, 0.993613131,
2392.187324260, 0.993675730,
2392.207756461, 0.993937025,
2392.228188861, 0.993847279,
2392.269053360, 0.994027517,
2392.289485759, 0.994140198,
2392.309918058, 0.993986593,
2392.330350356, 0.994104017,
2392.350782653, 0.993917434,
2392.371214950, 0.993903384,
2392.391647247, 0.994035336,
2392.412079543, 0.993904023,
2392.432511839, 0.993999898,
2392.452944134, 0.994052482,
2392.473376528, 0.993823496,
2392.493808723, 0.994099804,
2392.514241016, 0.993928242,
2392.534673410, 0.993975575,
2392.555105602, 0.994006052,
2392.575537995, 0.994130694,
2392.595970287, 0.994177405,
2392.616402478, 0.994109489,
2392.636834869, 0.994154936,
2392.657267059, 0.993953598,
2392.677699349, 0.994154844,
2392.698131738, 0.993987003,
2392.718563927, 0.994152945,
2392.738996215, 0.994156765,
2392.759428604, 0.994033144,
2392.779860791, 0.994084749,
2392.800293078, 0.994209360,
2392.820725465, 0.994027066,
2392.841157751, 0.994188540,
2392.861589936, 0.994132483,
2392.882022321, 0.993986373,
2392.902454606, 0.994128207,
2392.922886790, 0.993139755,
2392.943319174, 0.994221401,
2392.963751458, 0.994160908,
2392.984183840, 0.994021692,
2393.004616022, 0.993974765,
2393.025048304, 0.994048625,
2393.045480686, 0.994032714,
2393.188506542, 0.994009335,
2393.208938819, 0.994150790,
2393.229371197, 0.994172948,
2393.249803373, 0.994068867,
2393.270235649, 0.993858987,
2393.290668025, 0.994116034,
2393.311100300, 0.994031588,
2393.331532575, 0.993725272,
2393.351964849, 0.993763824,
2393.372397023, 0.994088561,
2393.392829396, 0.993978070,
2393.413261669, 0.993873926,
2393.433693841, 0.993881369,
2393.454126213, 0.993849651,
2393.494990656, 0.994047494,
2393.515423026, 0.994023688,
2393.535855296, 0.994102297,
2393.556287466, 0.993981816,
2393.576719835, 0.993991479,
2393.597152103, 0.993851835,
2393.617584272, 0.994105346,
2393.638016639, 0.993999364,
2393.658448907, 0.994345564,
2393.678881173, 0.994283472,
2393.699313440, 0.994265778,
2393.719745706, 0.994137219,
2393.740178071, 0.994215176,
2393.760610236, 0.994143284,
2393.781042500, 0.994115434,
2393.801474864, 0.994033609,
2393.821907128, 0.994127553,
2393.842339291, 0.994136826,
2393.862771653, 0.994085854,
2393.883203915, 0.993843949,
2393.903636077, 0.994586463,
2393.924068438, 0.994172792,
2393.944500699, 0.994207457,
2393.964932859, 0.994061426,
2393.985365218, 0.994459532,
2394.005797478, 0.994089468,
2394.026229637, 0.994422381,
2394.046661995, 0.994262454,
2394.067094253, 0.994409543,
2394.087526410, 0.994249158,
2394.107958767, 0.994355797,
2394.128390924, 0.994283731,
2394.148823280, 0.994086058,
2394.169255535, 0.994098527,
2394.189687790, 0.993724199,
2394.230552299, 0.994194874,
2394.250984553, 0.994182582,
2394.271416806, 0.994325584,
2394.291849058, 0.994214573,
2394.312281311, 0.994364926,
2394.332713663, 0.994310091,
2394.353145814, 0.994220363,
2394.373578065, 0.994413773,
2394.394010416, 0.994247695,
2394.414442565, 0.994449799,
2394.434874815, 0.994283309,
2394.455307164, 0.994341478,
2394.475739313, 0.994593027,
2394.496171661, 0.994355106,
2394.516603909, 0.994185329,
2394.537036056, 0.994208145,
2394.557468402, 0.994426527,
2394.577900648, 0.994516813,
2394.598332794, 0.994495629,
2394.618765140, 0.993840171,
2394.639197385, 0.994382000,
2394.659629629, 0.994643611,
2394.680061873, 0.994787868,
2394.700494117, 0.994872082,
2394.720926360, 0.994649719,
2394.741358602, 0.994558597,
2394.761790844, 0.994562162,
2394.782223086, 0.994398238,
2394.802655427, 0.994442905,
2394.823087568, 0.994698482,
2394.843519808, 0.994405204,
2394.863952048, 0.994384422,
2394.884384287, 0.994558063,
2394.904816626, 0.994776686,
2394.925248765, 0.994594714,
2394.945681003, 0.994711323,
2394.986545477, 0.994744054,
2395.006977714, 0.994628390,
2395.027410050, 0.994467800,
2395.047842186, 0.994477767,
2395.068274421, 0.994452116,
2395.088706756, 0.994182068,
2395.109138890, 0.994399683,
2395.129571124, 0.994361070,
2395.150003457, 0.994526642,
2395.170435690, 0.994746224,
2395.211300154, 0.994798742,
2395.231732386, 0.994795262,
2395.252164617, 0.994645452,
2395.272596848, 0.994717501,
2395.293029078, 0.994752259,
2395.313461408, 0.994593203,
2395.333893537, 0.994796708,
2395.354325766, 0.994646798,
2395.374758094, 0.994685410,
2395.395190222, 0.994639851,
2395.415622450, 0.994656413,
2395.436054777, 0.994776035,
2395.456486903, 0.994884067,
2395.476919129, 0.994674223,
2395.497351455, 0.994821944,
2395.517783580, 0.994854167,
2395.538215805, 0.994899114,
2395.558648129, 0.994603875,
2395.579080253, 0.994874234,
2395.599512576, 0.994797309,
2395.619944699, 0.994813802,
2395.640376922, 0.994868217,
2395.660809243, 0.994797059,
2395.681241365, 0.994955532,
2395.701673586, 0.994883102,
2395.722105907, 0.994446045,
2395.742538127, 0.994557056,
2395.762970246, 0.994749746,
2395.783402566, 0.994822041,
2395.803834784, 0.994749125,
2395.824266903, 0.994715214,
2395.844699221, 0.994828269,
2395.865131438, 0.995035881,
2395.885563555, 0.994833837,
2395.905995872, 0.994816041,
2395.926428088, 0.995139520,
2395.946860203, 0.994999300,
2395.967292519, 0.994859500,
2395.987724734, 0.994767173,
2396.008157048, 0.994777210,
2396.028589162, 0.994847937,
2396.049021375, 0.994927815,
2396.069453688, 0.994941992,
2396.089885800, 0.994877911,
2396.110318012, 0.995096084,
2396.130750324, 0.995198075,
2396.151182535, 0.995029839,
2396.192046956, 0.994949673,
2396.212479166, 0.994938702,
2396.232911275, 0.995102047,
2396.253343584, 0.995055593,
2396.273775792, 0.994888207,
2396.294207900, 0.995759996,
2396.314640208, 0.994882259,
2396.335072415, 0.994910764,
2396.355504622, 0.994923125,
2396.375936828, 0.995088683,
2396.396368933, 0.995124833,
2396.416801239, 0.995234350,
2396.437233443, 0.995191929,
2396.457665548, 0.995296248,
2396.478097852, 0.995122087,
2396.498530055, 0.995181783,
2396.518962158, 0.994976187,
2396.539394461, 0.995034863,
2396.559826663, 0.995293406,
2396.580258865, 0.995333850,
2396.600691066, 0.995319690,
2396.621123267, 0.995151066,
2396.641555467, 0.994976963,
2396.682419867, 0.995115644,
2396.764148760, 0.995340524,
2396.784580957, 0.995328001,
2396.805013054, 0.995292878,
2396.825445350, 0.995283650,
2396.845877546, 0.995068573,
2396.866309642, 0.995209742,
2396.886741936, 0.995218789,
2396.907174131, 0.995220334,
2396.927606225, 0.995303682,
2396.948038519, 0.995378897,
2396.968470712, 0.995180733,
2396.988902905, 0.995259588,
2397.009335097, 0.995350378,
2397.029767289, 0.995273564,
2397.050199480, 0.995193625,
2397.070631671, 0.995399436,
2397.091063862, 0.995328689,
2397.111496052, 0.995516642,
2397.131928242, 0.995398849,
2397.152360431, 0.995434784,
2397.172792620, 0.995378828,
2397.193224808, 0.995272831,
2397.213656996, 0.995125524,
2397.254521370, 0.995203436,
2397.336250114, 0.996316237,
2397.356682399, 0.995549561,
2397.377114483, 0.995560692,
2397.397546667, 0.995613672,
2397.417978950, 0.995566736,
2397.438411033, 0.995868151,
2397.458843316, 0.995527294,
2397.479275498, 0.995561674,
2397.499707580, 0.995687046,
2397.520139861, 0.995585104,
2397.540572042, 0.995256297,
2397.561004223, 0.995608823,
2397.581436402, 0.995510662,
2397.601868582, 0.995542304,
2397.622300761, 0.995507015,
2397.663165118, 0.995697546,
2397.683597295, 0.995399344,
2397.704029573, 0.995624147,
2397.724461650, 0.995544572,
2397.744893826, 0.995373449,
2397.765326102, 0.995485072,
2397.785758178, 0.995550767,
2397.806190453, 0.995260773,
2397.826622527, 0.995366571,
2397.847054702, 0.995553417,
2397.867486975, 0.995304553,
2397.887919049, 0.995516252,
2397.908351222, 0.995338609,
2397.928783494, 0.995615212,
2397.949215566, 0.995898925,
2397.969647738, 0.995589039,
2397.990080009, 0.995700148,
2398.010512080, 0.995774324,
2398.030944250, 0.995790931,
2398.051376520, 0.995837605,
2398.071808689, 0.995799538,
2398.092240758, 0.995756524,
2398.112673027, 0.995816369,
2398.153537263, 0.995502879,
2398.173969530, 0.995420306,
2398.194401697, 0.995664029,
2398.214833963, 0.995930692,
2398.235266029, 0.995631718,
2398.255698195, 0.995643699,
2398.276130459, 0.995545409,
2398.296562524, 0.995761139,
2398.316994688, 0.995751178,
2398.337426952, 0.995592310,
2398.357859016, 0.995611933,
2398.378291178, 0.995511370,
2398.398723441, 0.995294950,
2398.419155503, 0.995360877,
2398.439587665, 0.995665009,
2398.460019926, 0.995855089,
2398.480452086, 0.995458939,
2398.500884147, 0.995541298,
2398.521316407, 0.995507649,
2398.541748566, 0.995752209,
2398.562180725, 0.995883783,
2398.582612884, 0.995761825,
2398.603044942, 0.995514512,
2398.643909357, 0.995920449,
2398.664341413, 0.995715778,
2398.684773670, 0.995932475,
2398.705205826, 0.995668627,
2398.725637881, 0.995707912,
2398.746070136, 0.995728755,
2398.766502291, 0.995905530,
2398.786934345, 0.995569827,
2398.807366599, 0.995984058,
2398.827798753, 0.995942133,
2398.848230806, 0.995931217,
2398.868663058, 0.995930203,
2398.889095210, 0.995696063,
2398.909527462, 0.995754310,
2398.929959513, 0.995905454,
2398.950391664, 0.995908727,
2398.970823914, 0.995728544,
2398.991255964, 0.995964312,
2399.011688114, 0.995958350,
2399.032120363, 0.995795239,
2399.052552512, 0.995887603,
2399.072984560, 0.995607009,
2399.093416807, 0.995951698,
2399.113848955, 0.995897071,
2399.134281002, 0.995608694,
2399.154713248, 0.995830931,
2399.175145394, 0.995785606,
2399.195577440, 0.995914066,
2399.216009685, 0.995942442,
2399.236441830, 0.995851908,
2399.256873975, 0.995888284,
2399.277306118, 0.996172955,
2399.297738262, 0.995901888,
2399.318170405, 0.995625255,
2399.338602548, 0.995776004,
2399.379466832, 0.996016934,
2399.399898973, 0.996066555,
2399.420331114, 0.995906598,
2399.440763255, 0.995994949,
2399.461195395, 0.995418609,
2399.481627534, 0.996003701,
2399.502059674, 0.995946738,
2399.522491812, 0.995978919,
2399.542923951, 0.996355693,
2399.563356189, 0.996112596,
2399.583788226, 0.995898657,
2399.604220364, 0.996196374,
2399.624652600, 0.995942858,
2399.645084636, 0.995879614,
2399.665516872, 0.996115411,
2399.685949008, 0.996006202,
2399.706381043, 0.996034868,
2399.726813278, 0.996054500,
2399.747245412, 0.995827475,
2399.767677445, 0.995834133,
2399.788109678, 0.995959722,
2399.808541812, 0.996158504,
2399.828973844, 0.995998879,
2399.849406076, 0.996117567,
2399.869838208, 0.995988965,
2399.890270339, 0.995946136,
2399.910702470, 0.996038088,
2399.931134600, 0.996106865,
2399.951566730, 0.995884235,
2399.971998860, 0.996097716,
2399.992430989, 0.995997352,
2400.012863117, 0.996289428,
2400.033295246, 0.996164305,
2400.053727373, 0.995925935,
2400.074159601, 0.995916477,
2400.135455980, 0.996054115,
2400.155888006, 0.996129222,
2400.176320131, 0.996389585,
2400.196752357, 0.996378738,
2400.217184381, 0.996206977,
2400.237616505, 0.996128063,
2400.258048729, 0.996047194,
2400.278480751, 0.996241610,
2400.298912874, 0.996286902,
2400.319345097, 0.996175166,
2400.339777119, 0.996340056,
2400.360209340, 0.996302224,
2400.380641461, 0.996244395,
2400.401073582, 0.996154207,
2400.421505702, 0.996069431,
2400.441937822, 0.996375614,
2400.462369942, 0.996493186,
2400.482802061, 0.996369257,
2400.503234179, 0.996220993,
2400.523666298, 0.996347277,
2400.544098515, 0.996460166,
2400.564530532, 0.996314092,
2400.584962650, 0.996126607,
2400.605394866, 0.996385516,
2400.625826882, 0.996435451,
2400.646258998, 0.996448638,
2400.666691213, 0.996360238,
2400.687123228, 0.996445978,
2400.707555443, 0.996496767,
2400.727987556, 0.996374465,
2400.748419570, 0.996210456,
2400.768851783, 0.996538771,
2400.789283896, 0.996118050,
2400.809715908, 0.996376501,
2400.850580132, 0.995985761,
2400.871012243, 0.996359137,
2400.891444453, 0.996290697,
2400.911876564, 0.996294715,
2400.932308574, 0.996359721,
2400.952740783, 0.996437632,
2400.973172892, 0.996404564,
2400.993604901, 0.996587192,
2401.014037109, 0.996332907,
2401.034469217, 0.996276823,
2401.054901224, 0.996365532,
2401.075333431, 0.996374499,
2401.095765538, 0.996433382,
2401.116197744, 0.996401937,
2401.136629750, 0.996456229,
2401.157061855, 0.996356016,
2401.177494060, 0.996660764,
2401.279654478, 0.996438518,
2401.300086681, 0.996465894,
2401.320518683, 0.996428273,
2401.340950784, 0.996663375,
2401.361382985, 0.996822868,
2401.381815086, 0.996643933,
2401.402247086, 0.996670281,
2401.422679286, 0.996483657,
2401.443111386, 0.996323317,
2401.463543485, 0.996710520,
2401.483975584, 0.996734010,
2401.504407682, 0.996711587,
2401.524839780, 0.996397429,
2401.545271878, 0.996046459,
2401.586136071, 0.997370891,
2401.606568168, 0.996605142,
